#{"t_start": 1748265526.3846576, "env_id": "None"}
r,l,t
-102.176119,200,189.116017
-131.892934,200,189.319144
-119.650098,200,189.968145
-139.358065,200,190.172912
-170.354909,200,190.372956
-139.474958,200,190.57299
-121.156853,200,190.801316
-122.893142,200,191.531283
-98.293512,200,191.733809
-226.54314,200,191.936478
-136.33177,200,192.144056
-107.111841,200,192.349946
-148.548813,200,193.010936
-147.40098,200,193.220273
-111.332168,200,193.485176
-114.136225,200,193.724332
-140.21026,200,193.928372
-99.07523,200,194.584078
-175.725855,200,194.783613
-119.784526,200,194.998676
-105.361759,200,195.19823
-117.185421,200,195.410517
-168.145066,200,195.629527
-143.7862,200,196.328521
-167.912748,200,196.531663
-135.640512,200,196.733386
-124.150464,200,196.936533
-143.548453,200,197.151586
-109.408774,200,197.924064
-189.556567,200,198.146109
-106.109931,200,198.347227
-105.470755,200,198.553183
-107.112224,200,198.732243
-88.2583,200,199.463823
-130.224848,200,199.658397
-129.595159,200,199.865491
-113.085475,200,200.118034
-165.050665,200,200.331806
-151.318137,200,201.03792
-131.299383,200,201.234172
-109.891028,200,201.431211
-90.772259,200,201.625263
-128.311028,200,201.819751
-191.953272,200,202.4822
-106.772624,200,202.705973
-139.751726,200,202.912523
-114.46672,200,203.115556
-110.316847,200,203.318597
-172.8792,200,203.974007
-121.645041,200,204.18115
-112.278175,200,204.392898
-140.604284,200,204.62787
-106.326827,200,204.870028
-115.863721,200,205.55851
-112.884545,200,205.747939
-145.962043,200,205.938974
-138.248454,200,206.13092
-128.52322,200,206.327507
-109.62105,200,206.980393
-164.771575,200,207.17898
-150.116231,200,207.381082
-177.921318,200,207.616445
-151.504395,200,207.822574
-167.059957,200,208.471832
-144.887434,200,208.664882
-143.161585,200,208.865933
-104.463854,200,209.068077
-107.229042,200,209.270118
-132.888155,200,209.471163
-101.90191,200,210.146091
-136.562704,200,210.351135
-116.802203,200,210.557177
-102.618912,200,210.758214
-146.96038,200,210.955264
-129.985952,200,211.643438
-91.584755,200,211.882164
-146.391938,200,212.125639
-137.12633,200,212.340679
-160.170354,200,212.531723
-152.357505,200,213.21166
-115.407264,200,213.407877
-169.163955,200,213.606927
-139.313709,200,213.80497
-155.28744,200,214.603136
-132.623377,200,215.297534
-137.400545,200,215.502641
-150.790305,200,215.702691
-150.347015,200,215.903644
-116.651568,200,216.104686
-139.124065,200,216.772331
-110.923032,200,217.021899
-123.796269,200,217.248088
-123.352374,200,217.45013
-156.363675,200,217.650317
-135.82095,200,218.308395
-137.230477,200,218.512929
-120.920936,200,218.715394
-130.759998,200,218.948443
-171.204708,200,219.195433
-94.381027,200,219.890839
-162.875279,200,220.081871
-105.638036,200,220.272424
-92.629288,200,220.477857
-155.058667,200,220.675426
-125.261266,200,221.314434
-163.678894,200,221.522759
-116.410497,200,221.775681
-130.413523,200,221.984725
-159.910369,200,222.189773
-165.440292,200,222.378397
-102.763611,200,223.056154
-148.073968,200,223.262183
-164.286182,200,223.464784
-137.780251,200,223.686807
-133.00399,200,223.91016
-112.206979,200,224.613332
-151.806283,200,224.816369
-149.359347,200,225.023448
-122.124387,200,225.230499
-110.363644,200,225.428159
-172.451991,200,226.120075
-151.006004,200,226.376614
-141.099717,200,226.591524
-89.961004,200,226.793061
-133.749446,200,226.985275
-134.671802,200,227.656657
-134.907979,200,227.858428
-171.663959,200,228.062413
-95.802225,200,228.286651
-109.021286,200,228.525728
-139.091673,200,229.243078
-109.178928,200,229.440114
-122.426292,200,229.636899
-112.938292,200,229.832926
