#{"t_start": 1748237572.2546065, "env_id": "None"}
r,l,t
-0.101922,20,17.204306
-0.073973,20,17.230821
-0.085978,20,17.259345
-0.114059,20,17.290344
-0.070909,20,17.320344
-0.093896,20,17.345353
-0.094242,20,17.371872
-0.052983,20,17.400869
-0.069821,20,17.426869
-0.099634,20,17.457398
-0.110693,20,17.487396
-0.118755,20,17.517392
-0.042947,20,17.544406
-0.057645,20,17.570915
-0.115216,20,17.597915
-0.119575,20,17.624913
-0.103282,20,17.649925
-0.065109,20,17.677441
-0.065289,20,17.705441
-0.052611,20,17.731441
-0.143315,20,17.75796
-0.10381,20,17.785959
-0.093079,20,17.81896
-0.096375,20,17.850968
-0.110684,20,17.886484
-0.095537,20,17.915484
-0.095894,20,17.941487
-0.076865,20,17.973999
-0.106756,20,18.003998
-0.099201,20,18.031998
-0.094872,20,18.064519
-0.061316,20,18.094519
-0.094027,20,18.124516
-0.083662,20,18.162045
-0.064614,20,18.188047
-0.098713,20,18.218047
-0.103489,20,18.256071
-0.092217,20,18.305067
-0.07298,20,18.340078
-0.083804,20,18.366594
-0.073554,20,18.397594
-0.119733,20,18.430594
-0.079198,20,18.462105
-0.09984,20,18.488108
-0.09959,20,18.517108
-0.082519,20,18.547111
-0.095876,20,18.574624
-0.057433,20,18.616624
-0.06794,20,18.648632
-0.070353,20,19.886985
-0.095666,20,19.914991
-0.045812,20,19.948991
-0.062166,20,19.98251
-0.048752,20,20.01351
-0.076329,20,20.040516
-0.059506,20,20.067035
-0.059298,20,20.095036
-0.083648,20,20.124036
-0.074865,20,20.149043
-0.07834,20,20.175555
-0.09358,20,20.199555
-0.082665,20,20.224555
-0.127999,20,20.249563
-0.084925,20,20.27608
-0.080553,20,20.306595
-0.08231,20,20.333596
-0.085834,20,20.358117
-0.057605,20,20.386114
-0.099853,20,20.413117
-0.071407,20,20.438116
-0.064011,20,20.464636
-0.057767,20,20.488637
-0.071132,20,20.517634
-0.055217,20,20.546645
-0.06198,20,20.571157
-0.06441,20,20.600157
-0.097332,20,20.626158
-0.062686,20,20.652162
-0.085047,20,20.680679
-0.062702,20,20.704676
-0.08523,20,20.734676
-0.06648,20,20.768199
-0.063066,20,20.795199
-0.07319,20,20.822199
-0.058875,20,20.850202
-0.068918,20,20.877714
-0.101237,20,20.905711
-0.095118,20,20.932713
-0.0768,20,20.962237
-0.087535,20,20.988237
-0.093753,20,21.024237
-0.06928,20,21.051245
-0.063986,20,21.086763
-0.081943,20,21.117767
-0.091823,20,21.150767
-0.10619,20,21.188282
-0.073333,20,21.231282
-0.07948,20,21.260806
-0.068155,20,21.287806
-0.099903,20,21.324322
-0.073883,20,21.35485
-0.073016,20,21.385847
-0.055808,20,21.42185
-0.061351,20,21.459376
-0.046959,20,21.491373
-0.051327,20,21.531374
-0.081666,20,21.561892
-0.07701,20,21.591892
-0.07341,20,21.619892
-0.100767,20,21.646897
-0.052813,20,21.671412
-0.078234,20,21.701412
-0.099698,20,21.729413
-0.084096,20,21.75342
-0.059752,20,21.777933
-0.080535,20,21.806933
-0.060106,20,21.83894
-0.071728,20,21.868451
-0.047635,20,21.894451
-0.101054,20,21.920451
-0.05514,20,21.947461
-0.064904,20,21.971978
-0.080044,20,21.998978
-0.089929,20,22.025978
-0.048465,20,22.055499
-0.075529,20,22.081501
-0.066108,20,22.107498
-0.066078,20,22.140508
-0.067394,20,22.166023
-0.083685,20,22.193023
-0.062039,20,22.221022
-0.100083,20,22.249034
-0.062581,20,22.277548
-0.088462,20,22.302548
-0.089361,20,22.331548
-0.099994,20,22.357581
-0.090147,20,22.384578
-0.059705,20,22.409581
-0.08395,20,22.438581
-0.096319,20,22.468108
-0.105032,20,22.499109
-0.075736,20,22.526108
-0.10512,20,22.552114
-0.064906,20,22.576623
-0.078581,20,22.608627
-0.065593,20,22.642632
-0.085961,20,22.677145
-0.077747,20,22.716145
-0.086965,20,22.749155
-0.086912,20,22.774667
-0.080731,20,22.805667
-0.058104,20,24.176081
-0.107586,20,24.202077
-0.067321,20,24.23508
-0.077402,20,24.262604
-0.045514,20,24.290603
-0.071221,20,24.321604
-0.081061,20,24.350611
-0.072855,20,24.378124
-0.080141,20,24.406641
-0.050498,20,24.437641
-0.066378,20,24.47016
-0.045579,20,24.49916
-0.062698,20,24.53016
-0.036585,20,24.575687
-0.073231,20,24.619686
-0.052358,20,24.654691
-0.067455,20,24.698201
-0.052897,20,24.723202
-0.061541,20,24.756727
-0.06937,20,24.784727
-0.078308,20,24.814728
-0.079921,20,24.843734
-0.082653,20,24.879878
-0.082549,20,24.904877
-0.044792,20,24.934881
-0.116579,20,24.966398
-0.078281,20,25.003397
-0.07573,20,25.0284
-0.07175,20,25.06192
-0.059136,20,25.089916
-0.071594,20,25.120917
-0.045089,20,25.148928
-0.100235,20,25.180439
-0.0468,20,25.213436
-0.06375,20,25.240448
-0.069774,20,25.272964
-0.052074,20,25.300964
-0.069057,20,25.332964
-0.078889,20,25.362418
-0.072679,20,25.39242
-0.056882,20,25.420938
-0.102487,20,25.453946
-0.058296,20,25.486454
-0.080916,20,25.521454
-0.064436,20,25.553462
-0.086574,20,25.583978
-0.048767,20,25.612978
-0.044807,20,25.645983
-0.066956,20,25.674491
-0.0698,20,25.704489
-0.062375,20,25.735492
-0.074634,20,25.76901
-0.056263,20,25.80001
-0.061933,20,25.83101
-0.075384,20,25.863078
-0.069164,20,25.890077
-0.069017,20,25.931077
-0.053095,20,25.962598
-0.087599,20,25.995601
-0.071475,20,26.029601
-0.061008,20,26.062124
-0.063516,20,26.087125
-0.056804,20,26.120125
-0.071068,20,26.152132
-0.073252,20,26.182641
-0.067183,20,26.217641
-0.074174,20,26.245654
-0.080212,20,26.280179
-0.078693,20,26.312179
-0.066516,20,26.341184
-0.058349,20,26.370697
-0.090676,20,26.406697
-0.044538,20,26.452214
-0.042853,20,26.501733
-0.113514,20,26.536733
-0.06424,20,26.581254
-0.075628,20,26.614254
-0.102266,20,26.646263
-0.072923,20,26.678775
-0.052342,20,26.705775
-0.078509,20,26.745785
-0.073365,20,26.775308
-0.049778,20,26.811308
-0.06814,20,26.841312
-0.036823,20,26.874823
-0.061659,20,26.903823
-0.082885,20,26.937824
-0.058561,20,26.97334
-0.053063,20,27.021341
-0.091618,20,27.081865
-0.064897,20,27.153869
-0.092299,20,27.200384
-0.051706,20,27.250393
-0.070665,20,27.287907
-0.06769,20,27.320907
-0.053562,20,27.364424
-0.075354,20,27.408428
-0.087077,20,27.442433
-0.079411,20,27.473331
-0.050016,20,27.505332
-0.069969,20,27.53933
-0.094474,20,27.569856
-0.098732,20,28.854772
-0.046801,20,28.888292
-0.059041,20,28.921292
-0.064228,20,28.954302
-0.067606,20,28.98782
-0.05875,20,29.018818
-0.08582,20,29.047827
-0.036554,20,29.081337
-0.07188,20,29.113336
